asset1,asset2,return
BMY,CVS,-0.041661628429273116
BMY,DVA,0.17525974530783017
BMY,HSIC,0.531554332814836
BMY,HOLX,-0.035365437313244326
BMY,ISRG,0.40093785155027234
BMY,OGN,-0.01408497390085482
BMY,PFE,0.10888038992595524
BMY,REGN,-0.11812905099076437
BMY,STE,0.19363199107847498
BMY,UNH,0.3266567647764727
BMY,UHS,0.2404453552301231
CAH,CVS,0.08503804894289933
CAH,DHR,0.16613375316191115
CAH,DVA,0.3013913282968204
CAH,HCA,-0.20558687422767136
CAH,HSIC,0.18282912908578364
CAH,HOLX,0.0019289102138414455
CAH,IDXX,-0.015790197532797465
CAH,ISRG,-0.13052462016039848
CAH,IQV,0.029932513832700205
CAH,JNJ,0.15589385540887132
CAH,MRK,0.15051970024894398
CAH,MRNA,-0.39816869033677227
CAH,PFE,-0.3065088247636103
CAH,REGN,-0.05706170146605538
CAH,STE,0.14283506235186738
CAH,SYK,0.10241365462596717
CAH,TMO,-0.027594861293983412
CAH,UHS,-0.1264765400259089
CAH,WAT,-0.20260201254049579
CAH,ZBH,0.06410407465128344
CNC,CVS,0.39760943447648694
CNC,EW,0.18902355599842122
CNC,HCA,-0.15084702595759095
CNC,HSIC,-0.08399651467823831
CNC,HOLX,-0.19649534211575256
CNC,INCY,0.7197048348911584
CNC,JNJ,0.056082653635487076
CNC,OGN,-0.23906331273482823
CNC,PFE,0.2881690218271318
CNC,DGX,0.1874580363108049
CNC,REGN,0.23247201542909549
CNC,STE,0.27578743663608357
CNC,TMO,0.4337848898687269
CERN,DVA,0.14933178937922464
CERN,EW,0.19056005949241706
CERN,HCA,-0.09805065863414827
CERN,HOLX,-0.09862769089287729
CERN,HUM,0.5104696240228878
CERN,INCY,0.0765016549180368
CERN,ISRG,0.1992929254878356
CERN,MRK,0.04378100853789394
CERN,OGN,-0.08921762263155339
CERN,PKI,0.28789384389837447
CERN,PFE,0.1820419158070792
CERN,DGX,0.26668051292463496
CERN,REGN,-0.08183044946427792
CERN,TMO,0.0823936943387668
CERN,UHS,0.08073551062776169
CERN,VTRS,0.0762390883919163
CRL,DHR,0.43051866946168593
CRL,HCA,0.4040324362796094
CRL,HSIC,0.4301877774668863
CRL,HOLX,0.18480083667833097
CRL,INCY,-0.2805125959598782
CRL,ISRG,0.6981788485938468
CRL,IQV,0.22314690490913897
CRL,JNJ,-0.11700884160274523
CRL,OGN,-0.12604384967540916
CRL,PFE,-0.004271715865090664
CRL,DGX,0.49112593821174466
CRL,REGN,-0.2370954857906235
CRL,STE,-0.0618138550030475
CRL,TMO,-0.013629143238565157
