asset1,asset2,pval
AME,EMR,0.7185969657434168
AME,EFX,0.151764213241188
AME,EXPD,0.5893092103913771
AME,FAST,0.45081160465583187
AME,FDX,0.56951411658148
AME,FTV,0.5915087259221535
AME,FBHS,0.2863087793302559
AME,GNRC,0.4286270167823365
AME,GD,0.47591679479659366
AME,GE,0.602210551142581
AME,HON,0.6117577772388014
AME,HWM,0.37394105566393054
AME,HII,0.24354226587899247
AME,IEX,0.6237567584274191
AME,INFO,0.43213460225110467
AME,ITW,0.03948082785212893
AME,IR,0.5356522366017816
AME,JBHT,0.7082223486678654
AME,J,0.6931086123679224
AME,JCI,0.07937547499692982
AME,KSU,0.7985827213508592
AME,LHX,0.3323347337203645
AME,LDOS,0.33714230541488815
AME,LMT,0.2959832447608802
AME,MAS,0.33624028468059086
AME,NLSN,0.44863395435737324
AME,NSC,0.11173422606333888
AME,NOC,0.1297620751666848
AME,ODFL,0.5949156914859302
AME,OTIS,0.35374578120467626
AME,PCAR,0.805142000222943
AME,PH,0.028490265667504053
AME,PNR,0.5048856214703252
AME,PWR,0.31009534808501976
AME,RTX,0.24329766884238863
AME,RSG,0.6083685074984099
AME,RHI,0.4833956306690801
AME,ROK,0.13279981032622662
AME,ROL,0.5904946957783564
AME,ROP,0.36119412591840583
AME,SNA,0.7383271403923524
AME,LUV,0.5790257178283762
AME,SWK,0.41460857810767426
AME,TDY,0.5233143211253551
AME,TXT,0.15542992584461024
AME,TT,0.2629281878314695
AME,TDG,0.5312980091471241
AME,UNP,0.6548277253264301
AME,UAL,0.5538041481564925
AME,UPS,0.3807061524245232
AME,URI,0.6244658854047734
AME,VRSK,0.40858960170500747
AME,GWW,0.721001851262213
AME,WAB,0.7503243292782131
AME,WM,0.6855154634517108
AME,XYL,0.6920634293141815
BA,CHRW,0.20126936497557496
BA,CARR,0.1327426893646787
BA,CAT,0.8573248146094229
BA,CTAS,0.7332950367343596
BA,CPRT,0.16289571186123702
BA,CSX,0.7650244007983502
BA,CMI,0.5677958158599464
BA,DE,0.7611039634294476
BA,DAL,0.6621373267320123
BA,DOV,0.1355782366247832
BA,ETN,0.21329385951495727
BA,EMR,0.08828521077134344
BA,EFX,0.20605016031290913
BA,EXPD,0.30563701920159847
BA,FAST,0.6109681370766918
BA,FDX,0.6484334362033632
BA,FTV,0.4091405676807476
BA,FBHS,0.20653125191183025
BA,GNRC,0.09976683179422596
BA,GD,0.19520898445079493
BA,GE,0.7566191918132044
BA,HON,0.5807653947601612
BA,HWM,0.3641122986910551
BA,HII,0.3974643687403716
BA,IEX,0.55269700341552
BA,INFO,0.16749665694039167
BA,ITW,0.4405807643932283
BA,IR,0.5240322157277155
BA,JBHT,0.6992996180477629
BA,J,0.7617440404076256
BA,JCI,0.16311812362768546
BA,KSU,0.4052593885901613
BA,LHX,0.517865966392146
BA,LDOS,0.5929905820168497
BA,LMT,0.23618235221410144
BA,MAS,0.5693563857235111
BA,NLSN,0.3501516113788363
BA,NSC,0.6150561161570638
BA,NOC,0.023649144029701145
BA,ODFL,0.6340541857883946
BA,OTIS,0.09910292579469576
BA,PCAR,0.8571262908389407
BA,PH,0.42808090041621594
BA,PNR,0.17036975337199467
BA,PWR,0.21786888929998122
BA,RTX,0.24398727596351738
BA,RSG,0.5116254843547202
BA,RHI,0.46651880067199525
BA,ROK,0.08321715476265623
BA,ROL,0.6850070231820281
BA,ROP,0.13176673503149833
BA,SNA,0.862080181884215
BA,LUV,0.6149320358641344
BA,SWK,0.16434943653774942
BA,TDY,0.3510677668381855
BA,TXT,0.3654693974328693
BA,TT,0.31055894387099425
BA,TDG,0.6981416939743078
BA,UNP,0.7083551792754037
BA,UAL,0.6481951161719037
BA,UPS,0.6638770992729397
BA,URI,0.47779633179666203
BA,VRSK,0.5804014005309922
BA,GWW,0.48720008305702855
BA,WAB,0.6909096041809346
BA,WM,0.6275205967612836
BA,XYL,0.27392219227914893
CHRW,CARR,0.2836141234314038
CHRW,CAT,0.7147409299521889
CHRW,CTAS,0.6496172705183276
CHRW,CPRT,0.3441508971311713
CHRW,CSX,0.6805069413393123
CHRW,CMI,0.4062511396653966
CHRW,DE,0.6998225877111521
CHRW,DAL,0.2922876613820491
CHRW,DOV,0.38215891174295097
CHRW,ETN,0.5213772967213229
CHRW,EMR,0.16565751171149135
CHRW,EFX,0.3863839288491715
CHRW,EXPD,0.305718040674426
CHRW,FAST,0.7451933513810918
CHRW,FDX,0.3194022425692105
CHRW,FTV,0.43954962760144944
CHRW,FBHS,0.23819020227317783
CHRW,GNRC,0.11101266539209287
CHRW,GD,0.15454504270475244
CHRW,GE,0.6849851108582549
CHRW,HON,0.2812705850134217
CHRW,HWM,0.1509099876941717
CHRW,HII,0.4175539324990568
CHRW,IEX,0.5261033596892606
CHRW,INFO,0.5306128687869506
CHRW,ITW,0.563920271657458
CHRW,IR,0.6444914981133847
CHRW,JBHT,0.7375800931485408
CHRW,J,0.7089823667867695
CHRW,JCI,0.393247788912946
CHRW,KSU,0.9161636568707339
CHRW,LHX,0.6362019671947994
CHRW,LDOS,0.657873011184442
CHRW,LMT,0.31934796370781093
CHRW,MAS,0.5779117096016962
CHRW,NLSN,0.3539272350866837
CHRW,NSC,0.7025110812017613
CHRW,NOC,0.0798084608179912
